,Time,Chan1,Chan2,Trial,LED_State
118416,118416,0,0,2,0
118856,118856,0,1,2,0
119296,119296,0,2,2,0
119736,119736,0,6,2,0
120176,120176,0,2,2,0
120616,120616,0,2,2,0
121056,121056,0,6,2,0
121496,121496,0,0,2,0
121936,121936,0,2,2,0
122376,122376,0,6,2,0
122816,122816,0,2,2,0
123256,123256,0,2,2,0
123696,123696,0,6,2,0
124136,124136,0,2,2,0
124576,124576,0,0,2,0
125016,125016,0,0,2,0
125456,125456,0,0,2,0
125896,125896,0,2,2,0
126336,126336,0,2,2,0
126776,126776,0,6,2,0
127216,127216,0,0,2,0
127656,127656,0,2,2,0
128096,128096,0,0,2,0
128536,128536,0,2,2,0
128976,128976,0,2,2,0
129448,129448,0,0,3,1
129856,129856,0,1,3,1
130296,130296,0,2,3,1
130736,130736,0,1,3,1
131176,131176,0,0,3,1
131616,131616,0,0,3,1
132056,132056,0,0,3,1
132496,132496,0,0,3,1
132936,132936,0,2,3,1
133376,133376,0,0,3,1
133816,133816,0,2,3,1
134256,134256,0,2,3,1
134696,134696,0,3,3,1
135136,135136,0,2,3,1
135576,135576,0,2,3,1
136016,136016,0,0,3,1
136456,136456,0,2,3,1
136896,136896,0,2,3,1
137336,137336,0,2,3,1
137776,137776,0,0,3,1
138216,138216,0,0,3,1
138656,138656,0,0,3,1
139096,139096,0,0,3,1
139536,139536,0,0,3,1
139976,139976,0,2,3,1
140416,140416,0,6,3,1
140856,140856,0,2,3,1
141296,141296,0,2,3,1
141736,141736,0,6,3,1
142176,142176,0,2,3,1
142616,142616,0,2,3,1
143056,143056,0,6,3,1
143496,143496,0,2,3,1
143936,143936,0,2,3,1
144376,144376,0,0,3,1
144816,144816,0,2,3,1
145256,145256,0,0,3,1
145696,145696,0,0,3,1
146136,146136,0,0,3,1
146576,146576,0,0,3,1
147016,147016,2,0,3,1
147460,147460,5,0,3,1
147896,147896,2,0,3,1
148336,148336,2,0,3,1
148776,148776,5,0,3,1
149216,149216,2,0,3,1
149656,149656,2,0,3,1
150096,150096,5,0,3,1
150540,150540,2,0,3,1
150976,150976,2,0,3,1
151416,151416,0,0,3,1
151856,151856,2,0,3,1
152296,152296,0,0,3,1
152736,152736,0,0,3,1
153176,153176,0,0,3,1
153620,153620,0,0,3,1
154056,154056,2,0,3,1
154496,154496,5,0,3,1
154936,154936,2,0,3,1
155376,155376,2,0,3,1
155816,155816,5,0,3,1
156256,156256,1,0,3,1
156700,156700,2,0,3,1
157136,157136,5,0,3,1
157576,157576,2,0,3,1
158016,158016,2,0,3,1
158456,158456,5,0,3,1
158896,158896,0,0,3,1
159336,159336,0,0,3,1
159776,159776,0,0,3,1
160216,160216,0,0,3,1
160656,160656,2,0,3,1
161096,161096,2,0,3,1
161536,161536,5,0,3,1
161976,161976,0,0,3,1
162416,162416,2,0,3,1
162856,162856,0,0,3,1
163296,163296,1,0,3,1
163736,163736,2,0,3,1
164176,164176,5,0,3,1
164616,164616,0,0,3,1
165056,165056,2,0,3,1
165496,165496,0,0,3,1
165936,165936,0,0,3,1
166376,166376,0,0,3,1
166816,166816,0,0,3,1
167256,167256,0,0,3,1
167696,167696,2,0,3,1
168136,168136,0,0,3,1
168576,168576,0,0,3,1
169016,169016,2,0,3,1
169456,169456,0,0,3,1
169896,169896,2,0,3,1
170336,170336,2,0,3,1
170776,170776,2,0,3,1
171216,171216,0,0,3,1
171656,171656,2,0,3,1
172096,172096,0,0,3,1
172536,172536,0,0,3,1
172976,172976,0,0,3,1
173448,173448,0,0,4,0
173856,173856,0,0,4,0
174296,174296,0,0,4,0
174736,174736,2,0,4,0
175176,175176,5,0,4,0
175616,175616,2,0,4,0
176056,176056,2,0,4,0
176496,176496,5,0,4,0
176936,176936,2,0,4,0
177376,177376,2,0,4,0
177816,177816,5,0,4,0
178256,178256,2,0,4,0
178696,178696,2,0,4,0
179136,179136,0,0,4,0
179576,179576,1,0,4,0
180016,180016,0,0,4,0
180456,180456,0,0,4,0
180896,180896,0,0,4,0
181336,181336,0,0,4,0
181776,181776,2,0,4,0
182216,182216,5,0,4,0
182656,182656,2,0,4,0
183096,183096,2,0,4,0
183536,183536,5,0,4,0
183976,183976,2,0,4,0
184416,184416,2,0,4,0
184856,184856,5,0,4,0
185296,185296,2,0,4,0
185736,185736,2,0,4,0
186176,186176,5,0,4,0
186616,186616,1,0,4,0
187056,187056,0,0,4,0
187496,187496,0,0,4,0
187936,187936,0,0,4,0
188376,188376,2,0,4,0
188816,188816,2,0,4,0
189256,189256,5,0,4,0
189696,189696,0,0,4,0
190136,190136,2,0,4,0
190576,190576,3,0,4,0
191016,191016,0,0,4,0
191456,191456,2,0,4,0
191896,191896,5,0,4,0
192336,192336,0,0,4,0
192776,192776,2,0,4,0
193216,193216,0,0,4,0
193656,193656,0,0,4,0
194096,194096,0,0,4,0
194536,194536,0,0,4,0
194976,194976,0,0,4,0
195416,195416,0,2,4,0
195856,195856,0,6,4,0
196296,196296,0,2,4,0
196736,196736,0,2,4,0
197176,197176,0,6,4,0
197616,197616,0,2,4,0
198056,198056,0,2,4,0
198496,198496,0,5,4,0
198936,198936,0,2,4,0
199376,199376,0,2,4,0
199816,199816,0,0,4,0
200256,200256,0,2,4,0
200696,200696,0,0,4,0
201136,201136,0,0,4,0
201576,201576,0,0,4,0
202016,202016,0,0,4,0
202456,202456,0,2,4,0
202896,202896,0,6,4,0
203336,203336,0,2,4,0
203780,203780,0,2,4,0
204216,204216,0,6,4,0
204656,204656,0,2,4,0
205096,205096,0,2,4,0
205536,205536,0,6,4,0
205976,205976,0,2,4,0
206416,206416,0,2,4,0
206860,206860,0,6,4,0
207296,207296,0,2,4,0
207736,207736,0,0,4,0
208176,208176,0,0,4,0
208616,208616,0,0,4,0
209056,209056,0,2,4,0
209496,209496,0,2,4,0
209944,209944,0,6,4,0
210376,210376,0,2,4,0
210816,210816,0,2,4,0
211256,211256,0,6,4,0
211696,211696,0,0,4,0
212136,212136,0,2,4,0
212576,212576,0,6,4,0
213024,213024,0,0,4,0
213456,213456,0,2,4,0
213896,213896,0,6,4,0
