Time,Chan1,Chan2,Trial,LED_State
23401396,2,0,264,0
23401868,2,0,264,0
23402340,0,0,264,0
23402812,2,0,264,0
23403292,2,0,264,0
23403764,1,0,264,0
23404236,2,0,264,0
23404712,0,0,264,0
23405180,2,0,264,0
23405656,0,0,264,0
23406124,0,0,264,0
23406600,0,0,264,0
23407068,2,0,264,0
23407548,1,0,264,0
23408020,0,0,264,0
23408492,2,0,264,0
23408964,0,0,264,0
23409436,2,0,264,0
23409908,2,0,264,0
23410380,6,0,264,0
23410868,2,0,264,0
23411340,2,0,264,0
23411824,6,0,264,0
23412292,0,0,264,0
23412768,0,0,264,0
23413236,0,0,264,0
23413708,0,0,264,0
23414180,2,0,264,0
23414660,6,0,264,0
23415140,2,0,264,0
23415620,2,0,264,0
23416092,6,0,264,0
23416564,0,0,264,0
23417040,2,0,264,0
23417516,6,0,264,0
23417992,0,0,264,0
23418456,0,0,264,0
23418940,1,0,264,0
23419404,0,0,264,0
23419876,0,0,264,0
23420348,0,0,264,0
23420820,0,2,264,0
23421300,0,2,264,0
23421772,0,0,264,0
23422244,0,2,264,0
23422716,0,1,264,0
23423192,0,2,264,0
23423660,0,2,264,0
23424136,0,7,264,0
23424604,0,2,264,0
23425080,0,2,264,0
23425548,0,7,264,0
23426020,0,2,264,0
23426492,0,0,264,0
23426964,0,0,264,0
23427444,0,0,264,0
23427916,0,2,264,0
23428384,0,6,264,0
23428860,0,2,264,0
23429336,0,2,264,0
23429804,0,7,264,0
23430280,0,2,264,0
23430748,0,2,264,0
23431228,0,6,264,0
23431700,0,0,264,0
23432172,0,2,264,0
23432644,0,0,264,0
23433116,0,0,264,0
23433588,0,0,264,0
23434060,0,0,264,0
23434532,0,0,264,0
23435004,0,2,264,0
23435480,0,7,264,0
23435948,0,2,264,0
23436424,0,2,264,0
23436892,0,0,264,0
23437368,0,2,264,0
23437836,0,2,264,0
23438308,0,0,264,0
23438780,0,2,264,0
23439252,0,2,264,0
23439732,0,2,264,0
23440204,0,0,264,0
23440676,0,0,264,0
23441148,0,0,264,0
23441624,0,2,264,0
23442092,0,2,264,0
23442572,0,1,264,0
23443044,0,2,264,0
23443520,0,0,264,0
23443984,0,2,264,0
23444460,0,2,264,0
23444932,0,7,264,0
23445404,0,2,264,0
23445876,0,2,264,0
23446348,0,7,264,0
23446820,0,2,264,0
23447292,0,0,264,0
23447768,0,0,264,0
23448236,0,0,264,0
23448712,0,2,264,0
23449180,0,2,264,0
23449692,0,2,265,1
23450164,0,3,265,1
23450640,0,7,265,1
23451108,0,1,265,1
23451580,0,3,265,1
23452052,0,7,265,1
23452524,0,0,265,1
23452996,0,3,265,1
23453468,0,0,265,1
23453940,0,0,265,1
23454412,0,0,265,1
23454888,0,0,265,1
23455356,0,0,265,1
23455836,0,3,265,1
23456300,0,7,265,1
23456776,0,2,265,1
23457244,0,3,265,1
23457716,0,0,265,1
23458188,0,3,265,1
23458660,0,3,265,1
23459132,0,2,265,1
23459604,0,3,265,1
23460080,0,1,265,1
23460556,0,2,265,1
23461036,0,0,265,1
23461500,0,0,265,1
23461976,0,0,265,1
23462444,0,3,265,1
23462920,0,3,265,1
23463388,0,0,265,1
23463860,0,3,265,1
23464332,0,3,265,1
23464804,0,2,265,1
23465276,0,3,265,1
23465748,0,7,265,1
23466224,0,2,265,1
23466700,0,3,265,1
23467176,0,7,265,1
23467644,0,2,265,1
23468120,0,0,265,1
23468588,0,0,265,1
23469064,0,0,265,1
23469532,2,0,265,1
23470004,0,0,265,1
23470476,0,0,265,1
23470948,2,0,265,1
23471420,6,0,265,1
23471900,2,0,265,1
23472372,2,0,265,1
23472844,6,0,265,1
23473328,2,0,265,1
23473796,2,0,265,1
23474272,6,0,265,1
23474740,0,0,265,1
23475216,0,0,265,1
23475684,0,0,265,1
23476156,0,0,265,1
23476628,2,0,265,1
23477100,7,0,265,1
23477580,2,0,265,1
23478052,2,0,265,1
23478532,6,0,265,1
23479004,0,0,265,1
23479480,2,0,265,1
23479948,6,0,265,1
23480424,2,0,265,1
23480892,0,0,265,1
23481368,0,0,265,1
23481836,0,0,265,1
23482308,0,0,265,1
23482776,0,0,265,1
23483252,0,0,265,1
23483724,2,0,265,1
23484196,6,0,265,1
23484676,0,0,265,1
23485148,2,0,265,1
23485624,1,0,265,1
23486100,2,0,265,1
23486576,0,0,265,1
23487044,2,0,265,1
23487520,2,0,265,1
23487988,0,0,265,1
23488460,2,0,265,1
23488932,0,0,265,1
23489404,0,0,265,1
23489876,0,0,265,1
23490348,2,0,265,1
23490820,0,0,265,1
23491328,2,0,266,0
23491808,2,0,266,0
23492284,6,0,266,0
23492768,2,0,266,0
23493236,2,0,266,0
23493712,6,0,266,0
23494188,2,0,266,0
23494672,2,0,266,0
23495140,0,0,266,0
23495612,0,0,266,0
23496084,0,0,266,0
23496556,0,0,266,0
23497028,0,0,266,0
23497496,2,0,266,0
23497972,6,0,266,0
23498444,2,0,266,0
23498920,2,0,266,0
23499388,6,0,266,0
23499872,2,0,266,0
23500340,2,0,266,0
23500816,0,0,266,0
23501284,2,0,266,0
23501756,0,0,266,0
23502228,0,0,266,0
23502700,0,0,266,0
23503172,0,0,266,0
23503644,0,0,266,0
23504116,2,0,266,0
23504596,2,0,266,0
23505072,2,0,266,0
23505548,0,0,266,0
23506028,0,0,266,0
23506500,2,0,266,0
23506984,2,0,266,0
23507452,6,0,266,0
23507924,2,0,266,0
23508404,2,0,266,0
23508876,6,0,266,0
23509356,0,0,266,0
23509828,0,0,266,0
23510300,0,0,266,0
23510772,0,0,266,0
23511248,2,0,266,0
23511716,1,0,266,0
23512200,2,0,266,0
23512668,2,0,266,0
23513148,6,0,266,0
23513628,2,0,266,0
23514100,2,0,266,0
23514572,6,0,266,0
23515044,0,0,266,0
23515516,1,0,266,0
23515988,0,0,266,0
23516460,0,0,266,0
23516932,0,0,266,0
23517408,0,0,266,0
23517884,0,2,266,0
23518360,0,2,266,0
23518828,0,6,266,0
23519304,0,0,266,0
23519772,0,0,266,0
23520244,0,2,266,0
23520716,0,2,266,0
23521188,0,5,266,0
23521660,0,2,266,0
23522132,0,2,266,0
23522604,0,6,266,0
23523076,0,2,266,0
23523552,0,0,266,0
23524028,0,0,266,0
23524504,0,0,266,0
23524972,0,2,266,0
